URL,チャンネル名,登録者数,総再生数,投稿数,軍事部系最後の投稿日,初投稿日,失踪期間,活動期間(day),投稿頻度(1/year),平均再生数,登録者増加数,前回調査以降の投稿数
https://www.youtube.com/channel/UCF5z3FgygHQDifL7FSmfneA,萩野あお,5,329,3,2021/12/18,2021/12/17,244,245,4.47,109.7,0,0
https://www.youtube.com/channel/UClXRJzKq4bJX1D3_rwvL0Kg,sawa 1632,27,810,6,2020/06/08,2019/08/14,802,1101,1.99,135.0,3,0
https://www.youtube.com/channel/UCyWV2DMytjZEY4w1mW9eXrQ,すなを[マイクラ軍事部],108,11609,26,2022/07/18,2022/01/08,32,223,42.56,446.5,75,6
https://www.youtube.com/channel/UChsalREBaKLbl8smMcDnYDw,Jung Tenesu のワクワクマイクラだよ,115,14981,18,2022/01/17,2020/10/30,214,658,9.98,832.3,8,0
https://www.youtube.com/channel/UCxNyC5oiyBefh9fOjclyJZQ,うつせみ,21,791,4,2022/01/28,2022/01/24,203,207,7.05,197.8,2,0
https://www.youtube.com/channel/UCUXbrp4351shv3xO2i3zLAA,Anzenavy / 安勢国,3,51,2,2022/02/27,2021/07/29,173,386,1.89,25.5,-2,0
https://www.youtube.com/channel/UCGRRzeJhHecFSqRUyiViELA,ハルGAMES実況チャンネル,300,19838,253,2021/05/19,2019/07/28,457,1118,82.60,78.4,-4,15
https://www.youtube.com/channel/UCXBivwEQqCrUltiItvBq7JA,とある103,0,0,0,2021/01/04,2021/01/04,592,592,0.00,#DIV/0!,0,-3
https://www.youtube.com/channel/UCubrJLo4PlNxWbiXlblYupw,igyman,4,313,8,2022/02/19,2021/04/21,181,485,6.02,39.1,1,2
https://www.youtube.com/channel/UCcsWP-AUKsOVhCJvernin1w,かむいチャンネル,22,1010,0,2021/12/05,2021/12/05,257,257,0.00,#DIV/0!,9,-21
https://www.youtube.com/channel/UCFH9GKEklznmhSpY2rFhWCQ,くらふたー,13,1849,2,2020/11/15,2020/11/15,642,642,1.14,924.5,3,0
https://www.youtube.com/channel/UCe84E9dfZzbXYlI1T0jzYoQ,カケスのゲームCH,332,2285,31,2022/02/01,2021/09/05,199,348,32.51,73.7,9,0
https://www.youtube.com/channel/UCp-hPDGjHmMhsRjLIJNYKDA,共産趣味者のMAAKUNN,220,83473,38,2022/08/01,2020/11/25,18,632,21.95,2196.7,27,6
https://www.youtube.com/channel/UCFFI1DEnNoD_J9mABuDFkBQ,sugarシュガ,14,907,14,2022/07/23,2022/02/02,27,198,25.81,64.8,7,10
https://www.youtube.com/channel/UCfHTSEnaiT1lvEpBgiNG9qg,ゆっくり実況者ふぐ,6,355,3,2022/01/15,2021/12/06,216,256,4.28,118.3,3,0
